white;black;event;year;heatmap
Sutovskij, Emil;Polgar, Judit;Tilburg Fontys;1996;0.62,0.08,0.14,1.0,0.56,0.43,0.6,0.62,0.13,0.13,0.13,0.02,0.15,0.04,0.06,0.13,0.0,0.0,0.32,0.15,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.23,0.13,0.03,0.01,0.0,-0.16,0.0,-0.01,0.0,-0.31,0.01,0.02,0.19,-0.1,-0.04,-0.07,-0.12,-0.1,-0.11,0.0,0.0,-0.03,-0.13,-0.33,-0.03,-0.14,-0.13,-0.49,-0.13,-0.66,-0.18,-0.4,-0.56,-0.53,-0.55,-0.6,-0.24
Carlsen, Magnus;Anand, Viswanathan;WCh 2014;2014;0.3,0.11,0.14,0.75,0.95,0.27,0.72,0.08,0.11,0.21,0.09,0.04,0.0,0.18,0.11,0.21,-0.01,0.05,0.14,0.22,0.0,0.28,0.33,0.2,0.11,-0.08,0.03,0.01,0.78,0.02,0.14,0.01,-0.15,-0.29,-0.17,0.24,0.17,-0.13,-0.08,0.02,-0.02,-0.06,-0.45,-0.02,-0.18,0.06,-0.14,-0.2,-0.1,-1.0,-0.2,-0.05,-0.09,-0.18,-0.09,-0.06,-0.8,-0.05,-0.38,-0.54,-0.43,-0.4,-0.04,-0.51
Panno, Oscar;Rollansky, R.;CA-ch m;1965;0.26,0.06,0.14,0.13,0.44,0.04,1.0,0.06,0.05,0.04,0.01,0.01,0.02,0.1,0.07,0.05,0.08,0.16,0.03,0.09,0.01,0.09,0.09,0.0,0.0,0.02,0.02,0.06,0.03,0.04,0.17,0.01,0.0,0.08,-0.04,0.06,0.0,0.01,0.0,0.04,-0.06,0.0,-0.02,-0.06,0.06,-0.1,-0.04,-0.08,-0.12,-0.07,-0.08,-0.0,-0.19,-0.16,-0.44,-0.02,-0.26,-0.11,-0.1,-0.23,-0.34,-0.29,-0.41,-0.29
Hjartarson, Johann;Kasparov, Gary;Thessaloniki ol (Men);1988;0.24,0.67,0.84,0.68,0.92,0.16,0.02,0.31,0.27,0.2,0.18,0.73,0.07,0.08,0.12,-0.36,0.0,0.07,0.18,0.14,0.15,0.85,-0.07,-0.44,0.21,-0.08,0.0,0.21,0.31,-0.04,0.06,0.0,-0.07,-0.02,-0.01,-0.05,-0.16,0.03,-0.03,-0.22,-0.17,0.01,0.0,-0.35,-0.03,-0.15,-0.16,-0.12,-0.02,-0.18,-0.02,-0.05,-0.07,-0.08,-0.17,-0.15,-0.54,-0.12,-0.15,-1.0,-0.87,-0.5,-0.17,-1.0
Adla, Diego;Panno, Oscar;ARG-ch;1992;0.3,0.18,0.14,0.32,0.76,0.09,1.0,0.15,0.05,0.19,0.13,0.26,0.0,0.24,0.24,0.2,0.16,0.24,0.07,0.1,0.12,0.18,0.05,0.26,0.0,0.14,-0.02,-0.02,0.16,0.01,0.09,0.01,-0.01,-0.14,-0.02,-0.25,0.22,0.0,0.0,0.0,-0.02,-0.25,-0.29,0.0,-0.23,-0.01,-0.03,-0.17,-0.2,-0.21,-0.06,-0.18,-0.21,-0.13,-0.24,-0.41,-0.26,-0.15,-0.47,-0.6,-0.32,-0.42,-0.55,-0.19
Short, Nigel D;Polgar, Judit;Novgorod;1996;0.38,0.89,0.38,0.91,0.62,0.38,0.3,0.65,0.72,0.41,0.18,0.27,0.09,0.04,0.27,-0.27,0.45,0.41,0.58,0.2,0.59,0.04,0.21,0.0,0.0,0.29,0.0,0.02,0.23,0.4,0.03,0.0,0.0,-0.29,-0.1,0.0,0.24,0.0,-0.03,0.13,-0.46,-0.59,-0.57,0.01,-0.48,0.08,-0.12,0.0,-0.05,-0.39,-0.94,-0.15,-0.62,-0.51,-0.23,-0.24,-0.65,-0.24,-0.3,-0.56,-1.0,-0.32,-0.12,-0.78
Petrosian, Tigran V;Fischer, Robert James;Belgrade URS-World;1970;0.1,0.02,0.14,0.5,0.68,0.12,0.06,0.35,0.04,0.11,-0.03,0.1,0.12,0.61,0.08,0.08,0.04,-0.05,0.03,-0.05,0.04,0.22,0.23,0.0,0.0,0.06,-0.1,0.16,0.01,0.04,0.11,0.02,0.06,0.02,-0.01,-0.04,0.0,0.05,-0.06,0.0,0.09,0.0,-0.05,0.03,-0.13,-0.12,-0.09,-0.02,-0.05,-0.08,-0.06,-0.01,-0.2,-0.16,-1.0,-0.08,-0.33,-0.11,-0.16,-0.36,-0.41,-0.29,-0.15,-0.14
Matanovic, Aleksandar;Fischer, Robert James;Monte Carlo;1967;0.22,0.02,0.23,0.47,0.4,0.21,1.0,0.08,0.08,0.04,0.06,0.09,0.01,0.11,0.16,0.02,0.01,0.04,0.04,0.0,0.06,0.06,0.09,0.09,0.0,-0.04,0.02,0.21,0.1,0.02,0.0,0.04,-0.01,0.0,-0.0,0.03,-0.04,0.0,0.01,-0.04,-0.08,-0.02,-0.08,-0.09,-0.01,-0.04,-0.09,-0.04,-0.01,-0.19,-0.07,-0.11,-0.11,-0.11,-0.15,-0.55,-0.13,-0.17,-0.15,-0.46,-0.53,-0.13,-0.5,-0.08
Fischer, Robert James;Dely, Peter;Skopje;1967;0.33,0.04,0.1,0.37,0.5,0.19,0.51,0.17,0.08,0.08,0.08,0.01,0.0,0.04,0.08,0.08,0.0,0.08,0.07,0.0,0.06,0.02,0.0,0.0,0.02,-0.12,0.01,0.32,0.03,0.02,0.0,0.0,-0.2,0.0,-0.01,-0.01,0.0,0.0,0.0,0.0,-0.05,0.0,-0.04,-0.04,-0.04,-0.07,0.0,0.0,-0.03,-0.08,-0.0,-0.01,-0.03,-0.07,-0.08,-0.08,-0.33,-0.05,-0.14,-0.31,-1.0,-0.18,-0.04,-0.33
Chabanon, Jean Luc;Kasparov, Gary;FRA;1993;0.91,0.03,0.45,0.31,0.57,0.43,0.91,0.33,0.3,0.3,0.01,0.2,0.2,0.44,0.29,0.3,0.23,0.0,0.25,0.17,0.0,-0.02,0.26,0.16,0.73,0.0,0.07,0.11,0.02,0.25,-0.05,-0.02,0.0,0.09,-0.07,-0.1,-0.17,0.0,-0.01,0.0,0.0,-0.25,-0.32,0.0,-0.16,-0.41,0.0,0.0,-0.3,-0.3,-0.03,-0.06,-0.48,-0.3,-0.27,-0.3,-0.91,-0.18,-0.14,-0.73,-1.0,-0.34,-0.97,-0.34
Kasparov, Gary;Topalov, Veselin;Linares16th;1999;0.14,0.18,0.07,0.43,0.13,0.14,0.28,0.04,0.04,0.02,0.05,0.23,0.03,0.2,0.2,0.66,0.0,0.02,0.13,-0.06,0.09,0.04,0.19,0.25,0.04,0.0,0.05,0.02,0.02,-0.02,0.04,-0.03,-0.06,0.0,-0.07,0.0,-0.02,0.01,0.03,-0.03,-0.01,-0.01,-0.09,-0.22,-0.12,-0.2,-0.15,-0.04,0.07,-0.04,-0.16,-0.09,-0.01,-0.05,-0.22,-0.08,-0.08,-0.15,-0.05,-0.41,-0.24,-0.11,-1.0,-0.03
Fischer, Robert James;Letelier, Rene;Mar del Plata;1959;0.54,0.1,0.36,0.34,0.54,0.05,1.0,0.07,0.24,0.14,0.28,0.11,0.0,0.15,0.25,0.06,0.0,0.19,0.12,0.03,0.05,0.32,0.17,0.06,0.04,-0.01,-0.02,-0.16,0.15,0.13,0.09,0.01,-0.04,-0.24,-0.22,-0.03,-0.07,0.18,0.04,0.1,-0.3,0.0,-0.06,-0.21,-0.1,-0.19,-0.02,-0.03,-0.02,-0.18,-0.19,-0.2,-0.1,-0.3,-0.23,-0.11,-0.25,-0.17,-0.13,-0.37,-0.66,-0.35,-0.66,-0.28
Panno, Oscar;Garcia, Raimundo;Club Argentino;1977;0.14,0.05,0.56,0.46,0.48,0.17,1.0,0.22,0.02,0.09,0.18,0.0,0.01,0.13,0.12,0.09,0.19,0.04,0.14,-0.25,0.17,0.1,0.01,0.02,0.1,-0.01,0.26,-0.0,0.04,-0.01,0.0,0.0,0.0,0.21,-0.12,0.1,-0.05,-0.1,0.03,-0.02,-0.13,-0.17,-0.08,-0.02,-0.25,-0.1,-0.09,0.0,-0.01,-0.01,-0.01,-0.02,-0.03,-0.24,-0.19,-0.09,-0.21,-0.19,-0.14,-0.69,-0.28,-0.28,-1.0,-0.13
Kasparov, Gary;Zaitsev, Igor A;Baku;1980;0.3,0.71,0.35,0.79,0.5,0.25,0.1,0.58,0.29,0.29,0.39,0.0,0.19,0.29,-0.11,0.29,0.0,0.0,0.19,0.04,0.18,0.31,0.0,0.0,-0.25,0.0,-0.03,0.24,0.0,0.0,0.0,0.04,0.0,-0.1,-0.07,0.0,0.0,0.23,0.06,0.0,0.0,-0.07,0.0,0.06,-0.08,-0.44,-0.04,-0.23,-0.29,-0.25,-0.16,-0.03,-0.19,-0.29,-0.29,-0.06,-0.45,-0.23,-0.28,-0.54,-0.2,-0.72,-1.0,-0.14
Kasparov, Gary;Schiendorfer, R.;Zuerich sim;1988;0.35,0.07,0.05,0.51,0.79,0.31,1.0,0.26,0.13,0.02,0.01,0.1,0.23,0.37,0.09,0.14,0.14,0.11,0.1,0.05,0.06,0.29,0.0,0.04,0.64,-0.04,0.15,0.08,0.13,0.0,0.08,0.08,0.0,0.0,-0.11,0.07,-0.13,0.09,-0.13,-0.01,-0.02,-0.16,0.0,-0.06,-0.03,-0.27,-0.02,-0.07,-0.17,-0.37,-0.07,-0.23,-0.58,-0.2,-0.39,-0.96,-0.48,-0.11,-0.07,-0.37,-0.52,-0.42,-0.3,-0.21
Cobo Arteaga, Eldis;Panno, Oscar;Capablanca mem;1969;0.53,0.03,0.17,0.55,0.51,0.26,1.0,0.22,0.06,0.07,0.04,0.0,0.08,0.09,0.16,0.16,0.09,0.0,0.1,0.07,0.02,0.03,0.16,0.0,0.0,-0.02,-0.01,0.01,0.15,0.06,0.05,0.0,0.0,0.0,-0.05,0.04,-0.03,0.06,0.0,0.0,0.0,-0.02,-0.04,-0.06,-0.06,-0.18,-0.03,-0.09,-0.16,-0.13,0.01,-0.05,-0.03,-0.15,-0.2,-0.07,-0.5,-0.17,-0.27,-0.47,-0.44,-0.65,-0.79,-0.1
Kasparov, Gary;Thorsteins, Karl;Wch-blitz;1988;0.25,0.07,0.18,0.48,0.22,0.31,0.54,0.1,0.18,0.02,0.2,-0.04,-0.02,0.12,1.0,0.08,0.0,0.14,0.05,0.03,0.02,0.19,0.16,0.0,0.0,-0.01,0.04,0.02,0.45,0.07,-0.13,0.11,-0.11,-0.01,0.05,0.25,0.01,0.11,-0.04,-0.05,-0.05,-0.08,0.08,0.03,0.02,-0.06,-0.09,-0.07,0.12,-0.06,0.05,-0.12,-0.05,-0.09,-0.4,-0.21,-0.37,-0.1,-0.16,-0.69,-0.29,-0.64,-0.99,-0.8
Kasparov, Gary;Petrosian, Tigran V;Tilburg;1981;0.32,0.31,0.22,0.42,0.5,0.19,1.0,0.19,0.18,0.06,0.12,0.11,0.04,0.04,0.3,0.02,-0.02,0.17,0.11,0.22,0.12,0.05,0.08,0.11,0.09,0.01,0.1,0.12,0.0,0.09,0.11,0.0,0.0,-0.02,-0.02,-0.21,0.01,-0.07,0.08,-0.02,-0.03,-0.07,-0.26,0.0,-0.11,-0.11,-0.11,0.0,-0.35,-0.19,-0.44,-0.27,-0.32,-0.06,-0.13,-0.03,-0.29,-0.37,-0.28,-0.56,-0.69,-0.12,-0.03,-0.42
Torre, Eugenio;Panno, Oscar;Manila Interzonal;1976;0.14,0.64,0.85,0.28,1.0,0.11,0.01,0.47,0.19,0.19,0.18,0.71,0.0,0.04,0.19,0.19,0.0,0.0,0.12,0.05,0.01,0.02,0.0,0.0,-0.0,-0.12,0.02,0.17,0.09,0.03,0.0,0.0,-0.08,-0.08,-0.12,0.11,0.12,-0.08,0.1,0.0,-0.07,-0.3,-0.26,0.01,-0.34,-0.11,-0.07,0.0,-0.03,-0.07,-0.06,0.01,-0.15,-0.19,-0.12,-0.19,-0.75,-0.05,-0.07,-0.3,-0.91,-0.22,-0.95,-0.35
Quinteros, Miguel A;Panno, Oscar;Buenos Aires m;1990;0.45,0.05,0.08,0.47,0.6,0.54,0.99,0.28,0.05,0.2,0.1,0.03,0.24,0.27,0.46,0.16,0.01,0.23,0.04,0.24,-0.04,0.31,0.15,0.07,0.21,-0.02,0.02,-0.2,0.05,0.05,0.0,0.0,-0.05,0.04,-0.02,0.09,0.02,-0.01,-0.02,0.17,-0.03,-0.09,-0.03,-0.15,-0.06,-0.28,-0.23,0.03,-0.19,-0.05,-0.33,-0.02,-0.09,-0.1,-0.48,-0.24,-0.32,-0.07,-0.2,-0.79,-0.5,-0.53,-1.0,-0.92
Panno, Oscar;Benjamin, Joel;Buenos Aires;1992;0.45,0.16,0.58,0.61,0.25,0.11,1.0,0.15,0.07,0.27,0.32,0.23,0.26,0.26,0.49,0.23,0.15,0.06,0.15,0.21,0.0,0.21,0.23,0.0,0.0,-0.02,0.13,-0.18,0.02,0.0,0.0,0.03,-0.21,0.0,-0.06,0.05,-0.14,0.0,0.0,0.0,-0.15,0.02,-0.08,-0.15,-0.32,-0.43,-0.04,0.0,-0.08,-0.03,-0.14,-0.24,-0.02,-0.26,-0.34,-0.26,-0.48,-0.24,-0.31,-0.86,-0.23,-0.32,-0.97,-0.14
Svidler, Peter;Kasparov, Gary;Blitz m;1998;0.49,0.07,0.61,0.32,0.98,0.56,0.48,0.59,0.17,0.12,0.11,0.24,0.28,0.44,0.05,0.19,-0.03,0.2,0.17,-0.03,0.33,0.22,0.17,0.0,-0.22,-0.01,-0.12,0.02,0.27,-0.03,-0.09,0.15,0.17,-0.17,-0.07,-0.19,-0.14,0.0,0.23,0.0,-0.29,-0.18,0.02,-0.16,-0.41,-0.15,0.0,0.0,-0.04,-0.07,-0.17,-0.02,-0.08,-0.28,-0.34,-0.34,-0.7,-0.16,-0.12,-0.66,-0.75,-0.3,-1.0,-0.45
Polgar, Judit;Nikolic, Predrag;Linares 14th;1997;0.08,0.05,0.49,0.14,1.0,0.14,0.51,0.17,0.03,-0.16,0.2,0.23,0.27,0.22,0.09,0.03,-0.44,-0.03,0.14,0.12,0.05,0.63,0.29,0.43,-0.08,-0.04,-0.08,0.1,0.03,0.17,0.2,0.0,-0.06,-0.05,-0.02,-0.18,0.2,-0.01,0.04,0.08,0.0,0.0,-0.1,0.0,-0.21,0.54,0.07,-0.16,-0.18,-0.34,-0.04,-0.24,-0.3,-0.22,-0.12,-0.04,-0.25,-0.23,-0.4,-0.41,-0.95,-0.91,-0.05,-0.48
Kasparov,G;Karpov,An;x3dworld rapid;2002;0.27,0.07,0.4,0.57,0.51,0.15,1.0,0.1,0.1,0.04,0.03,0.02,0.14,0.11,0.11,0.11,0.07,0.0,0.02,0.02,0.05,0.2,0.0,0.0,0.0,-0.03,0.03,0.09,-0.19,0.02,0.0,0.0,-0.07,0.0,0.03,-0.24,0.03,-0.06,0.01,0.0,0.0,0.0,-0.07,-0.03,0.0,-0.02,-0.08,0.0,-0.11,-0.11,-0.08,-0.1,-0.08,-0.1,-0.11,-0.11,-0.26,-0.05,-0.12,-0.51,-0.6,-0.13,-0.89,-0.14
Kasparov,G;Karpov,Ana;Blitz Match;2009;0.73,0.07,0.49,0.62,1.0,0.02,0.1,0.28,0.09,0.75,0.01,0.65,0.04,0.31,0.06,-0.18,0.39,0.08,0.27,0.08,0.21,0.12,0.0,0.0,0.07,0.04,0.02,0.21,0.0,-0.02,0.08,0.03,-0.0,0.06,-0.0,-0.16,0.0,0.09,0.0,0.14,-0.18,-0.12,-0.38,-0.57,-0.06,-0.14,0.01,-0.32,-0.16,-0.81,-0.43,-0.3,0.02,-0.08,-0.2,-0.07,-0.22,-0.92,-0.32,-0.46,-0.8,0.11,-0.03,-0.32
Rossetto, Hector;Panno, Oscar;Mar del Plata zt;1969;0.21,1.0,0.13,0.94,0.77,0.5,0.07,0.39,0.09,0.16,0.18,0.0,0.32,0.21,0.3,0.07,0.0,0.09,0.28,0.38,0.15,0.25,0.0,0.35,0.08,-0.0,0.0,0.14,0.02,-0.1,-0.04,0.07,-0.16,0.0,0.0,-0.17,-0.06,-0.18,0.04,0.0,-0.1,0.0,-0.22,-0.37,-0.14,-0.23,-0.18,-0.57,-0.07,-0.16,-0.18,-0.3,-0.34,-0.14,-0.04,-0.03,-0.27,-0.88,-0.48,-0.65,-0.59,-0.09,-0.1,-0.38
Bauer,Ch;Kasparov,G;World Cup of Rapid Chess Gp A;2001;0.29,0.06,0.05,0.4,0.3,0.22,0.36,1.0,0.03,0.1,0.19,0.01,0.39,0.04,0.24,0.24,0.02,0.11,0.35,-0.01,0.09,0.04,0.0,0.0,0.0,-0.07,-0.01,0.31,0.13,-0.04,0.0,0.0,0.01,-0.14,-0.03,0.0,-0.01,0.01,0.0,-0.07,-0.12,0.0,0.0,-0.15,-0.15,-0.37,-0.15,-0.14,-0.03,-0.09,-0.04,-0.28,-0.23,-0.05,-0.24,-0.1,-0.28,-0.08,-0.16,-0.32,-0.46,-0.21,-0.91,-0.2
Portisch, Lajos;Fischer, Robert James;Bled;1961;0.16,0.02,0.05,0.28,0.53,0.28,0.02,0.37,0.14,0.03,0.03,0.05,0.02,0.18,0.02,0.19,-0.04,0.05,-0.0,0.05,0.22,0.15,-0.01,0.0,-0.02,-0.13,-0.01,0.12,0.05,-0.01,-0.02,0.01,-0.06,0.01,0.04,-0.07,0.04,-0.03,0.01,-0.02,0.0,0.0,0.03,0.0,-0.19,-0.11,-0.13,-0.12,-0.07,-0.03,-0.02,-0.01,-0.11,-0.13,-0.04,-0.02,-0.22,-0.08,-0.11,-0.16,-1.0,-0.02,-0.03,-0.18
Fine, Reuben;Fischer, Robert James;Manhattan blitz;1963;0.1,0.02,0.38,0.08,0.68,0.07,0.55,0.3,0.13,0.04,0.21,0.0,0.06,0.13,0.13,0.14,0.0,0.18,0.06,0.0,0.2,0.08,0.0,0.0,0.13,-0.09,0.03,0.13,0.01,0.09,-0.09,0.0,-0.27,-0.03,0.02,-0.07,0.15,0.0,0.0,-0.01,-0.01,0.0,-0.03,0.0,-0.08,-0.1,-0.12,0.01,-0.13,-0.03,-0.06,-0.03,-0.08,-0.13,-0.1,-0.13,-0.37,-0.14,-0.11,-0.25,-0.17,-0.47,-1.0,-0.08
Teschner, Rudolf;Fischer, Robert James;Stockholm Interzonal;1962;0.18,0.02,0.12,0.21,0.74,0.07,0.34,0.29,0.05,0.06,0.0,0.1,0.18,0.13,0.06,0.08,0.06,0.02,0.06,0.0,0.17,0.27,0.02,0.0,0.03,0.05,0.07,0.02,0.02,-0.01,0.0,0.04,-0.02,0.0,0.0,0.02,-0.07,-0.02,0.01,0.0,-0.03,-0.01,-0.02,-0.05,-0.01,-0.11,-0.06,-0.07,-0.07,-0.02,-0.0,-0.04,-0.02,-0.06,-0.32,-0.16,-0.52,-0.11,-0.14,-0.19,-0.28,-0.08,-1.0,-0.05
Panno, Oscar;Quinteros, Miguel A;Buenos Aires m;1970;0.35,0.04,0.08,0.28,0.48,0.41,0.63,0.22,0.14,0.1,0.43,0.43,0.17,0.19,0.57,0.08,0.0,0.35,0.57,0.32,0.54,0.74,0.29,0.17,0.43,0.0,0.56,-0.04,0.07,0.28,0.04,0.23,-0.36,0.0,-0.53,0.51,0.0,0.01,0.16,-0.03,-0.11,-0.4,-0.0,-0.56,0.04,-0.68,-0.37,-0.07,-0.1,-0.25,-0.13,-0.39,-0.51,-0.62,-0.68,-0.46,-0.38,-0.27,-0.15,-0.37,-0.8,-0.56,-1.0,-0.11
Bronstein, David I;Panno, Oscar;Candidats Tournament;1956;0.16,0.02,1.0,0.59,0.41,0.29,0.07,0.45,0.09,0.11,0.25,0.59,0.23,0.31,0.2,0.16,-0.04,0.0,0.13,0.05,0.13,0.35,0.09,0.03,-0.01,-0.06,0.04,0.04,-0.04,-0.25,0.0,0.05,-0.07,-0.0,0.11,-0.13,-0.26,-0.18,0.05,0.0,0.04,0.04,0.01,-0.03,-0.1,-0.78,-0.14,0.07,-0.16,-0.07,-0.09,-0.1,-0.02,-0.15,-0.22,-0.12,-0.37,-0.36,-0.59,-0.42,-0.34,-0.35,-0.54,-0.15
Kasparov, Gary;Bertona, Fernando;Cordoba simul;1992;0.16,0.02,0.48,0.24,0.49,0.12,0.0,0.26,0.11,0.1,1.0,0.05,0.36,0.06,0.07,0.07,0.0,0.0,0.17,0.0,0.01,0.14,0.0,0.0,0.02,0.02,0.12,0.05,0.08,0.05,0.06,0.01,0.01,0.02,-0.06,-0.04,0.09,0.0,0.0,0.07,-0.09,-0.05,-0.02,-0.06,-0.14,-0.15,0.0,-0.12,-0.03,-0.13,-0.01,-0.25,-0.32,-0.14,-0.12,-0.06,-0.27,-0.03,-0.11,-0.41,-0.93,-0.12,-0.6,-0.27
Kasparov, Gary;Sax, Gyula;World Cup;1988;0.25,0.02,0.06,0.33,0.63,0.4,0.08,0.38,0.01,0.48,0.05,0.09,0.09,0.27,0.1,-0.01,0.09,-0.1,0.23,0.07,0.05,0.1,0.04,0.03,-0.05,-0.01,0.03,0.17,0.0,0.1,0.0,-0.02,-0.18,0.01,-0.06,-0.03,0.0,-0.02,-0.07,0.0,0.0,-0.12,-0.01,0.01,-0.03,-0.19,0.0,-0.07,-0.05,-0.1,-0.03,-0.12,-0.08,-0.1,-0.06,-0.03,-0.38,-0.06,-0.18,-0.36,-0.46,-0.09,-1.0,-0.05
Mamedyarov,S;Polgar,Ju;Geneva Masters GpA 2013;2013;0.31,0.07,0.05,0.3,0.57,0.15,0.55,0.16,0.02,0.02,0.3,0.1,0.09,0.19,0.07,0.14,0.01,0.04,0.05,0.4,0.05,0.14,0.0,0.0,0.02,-0.01,0.09,0.01,0.01,0.05,-0.06,-0.03,0.03,0.0,-0.06,0.09,-0.02,-0.09,0.02,0.0,-0.09,0.01,0.0,-0.11,0.01,-0.1,-0.1,-0.07,-0.04,-0.08,-0.02,-0.09,-0.03,-0.05,-0.14,-0.08,-0.49,-0.05,-0.03,-0.36,-0.48,-0.26,-1.0,-0.13
Bareev, Evgeny;Kasparov, Gary;Linares;1992;0.24,0.03,0.08,0.21,0.69,0.02,0.13,0.22,0.13,0.0,0.12,0.2,0.58,0.07,0.03,0.02,-0.05,0.0,0.11,0.22,0.18,0.03,0.01,0.06,-0.04,-0.01,0.04,0.2,0.03,0.0,-0.0,-0.03,-0.13,-0.06,-0.04,0.01,-0.02,-0.17,-0.09,0.05,-0.02,0.0,-0.01,-0.09,-0.03,-0.09,-0.02,-0.11,-0.03,-0.09,-0.01,-0.07,-0.02,-0.13,-0.22,-0.15,-0.2,-0.01,-0.04,-0.34,-0.17,-0.22,-1.0,-0.05
Polgar,Ju;Adams,Mi;World Cup of Rapid Chess 1/4 Final;2001;0.17,0.12,0.13,0.41,0.3,0.13,1.0,0.07,0.05,0.03,0.02,0.01,0.3,0.13,0.1,0.3,0.09,0.23,0.08,0.12,0.11,0.16,0.05,0.05,0.07,0.0,0.1,0.05,-0.03,0.07,0.0,0.05,-0.04,0.0,0.08,-0.11,0.01,-0.06,0.0,-0.05,0.0,0.0,-0.11,-0.06,-0.02,-0.07,-0.26,-0.04,-0.02,-0.15,-0.09,-0.63,-0.1,-0.39,-0.15,-0.06,-0.19,0.06,-0.06,-0.37,-0.4,-0.3,-0.84,-0.1
Panno, Oscar;Quinteros, Miguel A;Buenos Aires m;1970;0.29,0.06,0.12,0.15,0.24,0.14,1.0,0.03,0.07,0.09,0.05,-0.02,0.15,0.06,0.11,0.22,0.01,0.06,0.05,0.04,0.14,0.19,0.12,0.09,0.1,-0.01,0.08,-0.05,-0.06,-0.03,0.0,0.0,-0.09,0.07,-0.0,-0.04,-0.04,-0.03,-0.05,-0.04,0.0,-0.2,-0.11,-0.04,-0.04,-0.08,-0.11,-0.08,-0.01,-0.11,-0.17,-0.14,-0.01,-0.02,-0.03,-0.84,-0.29,-0.01,-0.15,-0.26,-0.25,-0.11,-0.14,-0.06
Reefschlaeger, Helmut;Kasparov, Gary;HSK-Kasparov simul;1987;0.28,0.15,0.07,0.42,0.41,0.12,0.6,0.2,0.31,0.05,0.73,0.04,0.13,0.06,0.41,0.11,0.0,-0.09,0.08,0.0,-0.02,0.11,0.09,-0.02,0.03,-0.09,-0.04,0.0,0.03,0.04,-0.01,-0.01,-0.21,0.0,-0.25,0.1,-0.04,0.0,0.02,-0.0,-0.21,0.0,0.0,-0.1,0.0,-0.06,-0.09,0.0,-0.03,-0.08,-0.03,-0.13,-0.11,-0.11,-0.26,-0.08,-0.22,-0.26,-0.2,-0.2,-0.27,-0.06,-1.0,-0.12
Kasparov, Gary;Tal, Mihail;Moscow TV;1987;0.36,0.3,0.17,0.52,0.54,0.2,1.0,0.16,0.08,0.0,0.14,0.04,0.25,0.41,0.52,0.18,0.25,-0.05,-0.06,0.28,0.07,0.2,0.25,0.12,0.12,0.07,-0.05,0.21,0.25,0.25,0.27,0.24,-0.13,-0.14,-0.11,0.0,-0.23,-0.12,-0.25,0.0,0.0,-0.01,-0.13,-0.4,-0.61,-0.28,0.0,-0.24,-0.29,-0.28,-0.07,-0.14,-0.28,-0.33,-0.31,0.0,-0.35,-0.1,-0.4,-0.54,-0.65,-0.29,-0.56,-0.2
Wojtaszek,R;Vachier Lagrave,M;83rd Tata Steel Masters;2021;0.11,0.08,0.28,0.49,0.36,0.32,1.0,0.16,-0.01,0.01,0.13,0.0,0.09,0.13,0.12,0.09,0.0,0.0,0.08,0.05,0.1,0.1,0.23,0.01,0.07,-0.32,0.25,0.07,0.0,0.19,-0.01,0.11,-0.09,0.02,-0.03,-0.16,-0.07,-0.04,0.0,-0.01,0.0,0.0,-0.11,0.0,-0.18,-0.25,-0.15,0.0,-0.07,-0.06,0.0,-0.01,-0.15,-0.28,-0.2,-0.08,-0.23,-0.09,-0.1,-0.27,-0.3,-0.13,-0.98,-0.14
Polgar, Judit;Costa, Jean Luc;Biel schev;1987;0.13,0.1,0.14,0.29,0.14,0.16,1.0,0.06,0.06,0.05,0.05,0.02,0.0,0.0,0.13,0.04,0.04,0.06,0.01,0.01,0.06,0.11,0.09,0.0,0.04,0.0,0.03,-0.02,0.01,-0.01,-0.09,0.01,0.01,0.01,0.06,0.04,-0.03,0.0,-0.02,-0.01,-0.02,-0.08,-0.08,-0.03,0.07,-0.07,0.0,0.0,-0.34,-0.12,-0.03,-0.12,0.01,-0.11,-0.05,-0.11,-0.31,-0.19,-0.03,-0.29,-0.31,-0.14,-0.25,-0.14
Polgar, Judit;Motwani, Paul;Isle of Lewis;1995;0.27,0.06,0.16,0.14,1.0,0.12,0.1,0.16,0.01,0.01,0.08,0.09,0.2,0.02,0.13,0.05,0.08,0.04,0.07,0.17,0.0,0.0,0.11,0.04,-0.01,-0.01,0.01,-0.01,0.0,0.07,0.03,-0.12,-0.03,-0.09,-0.02,-0.03,0.08,0.0,0.04,0.0,0.0,-0.16,-0.17,0.0,-0.09,0.0,0.0,0.0,-0.06,-0.07,-0.33,-0.13,-0.11,-0.09,0.0,0.02,-0.15,-0.07,-0.46,-0.28,-0.48,0.01,-0.19,-0.15
Fischer, Robert James;Spassky, Boris V;World Championship 28th;1972;0.1,0.03,0.3,0.75,0.47,0.41,0.8,0.2,0.03,0.07,-0.11,-0.16,0.06,0.15,0.27,0.07,-0.01,0.07,0.12,0.09,0.12,0.48,0.14,0.07,0.11,-0.32,0.16,0.06,-0.15,0.0,0.01,0.09,-0.14,-0.07,-0.03,-0.02,0.01,-0.02,0.01,0.0,-0.05,0.0,0.0,0.0,-0.12,-0.29,-0.22,-0.12,-0.18,-0.05,-0.0,-0.22,-0.13,-0.13,-0.11,-0.12,-0.22,-0.07,-0.27,-0.42,-0.16,-0.23,-1.0,-0.07
